word	log10(p)	rank
中国	   -2.4262	0
行星	   -2.5930	1
小行	   -2.5995	2
来源	   -2.7228	3
参考	   -2.7651	4
人民	   -2.7737	5
个来	   -2.7861	6
留言	   -2.8125	7
人口	   -2.8186	8
一个	   -2.8482	9
大学	   -2.8580	10
行政	   -2.8641	11
美国	   -2.8856	12
研究	   -2.8893	13
日本	   -2.9036	14
使用	   -2.9114	15
公里	   -2.9287	16
公司	   -2.9326	17
的一	   -2.9363	18
政区	   -2.9751	19
香港	   -2.9753	20
国家	   -2.9756	21
条目	   -2.9961	22
足球	   -3.0181	23
共和	   -3.0185	24
北京	   -3.0189	25
建立	   -3.0222	26
委员	   -3.0232	27
中华	   -3.0238	28
文献	   -3.0276	29
内容	   -3.0309	30
和国	   -3.0327	31
第一	   -3.0448	32
考文	   -3.0459	33
平方	   -3.0481	34
标记	   -3.0502	35
学院	   -3.0514	36
铁路	   -3.0536	37
机器	   -3.0623	38
政府	   -3.0666	39
人物	   -3.0704	40
并将	   -3.0740	41
运动	   -3.0743	42
器人	   -3.0757	43
市镇	   -3.0793	44
政治	   -3.0801	45
作品	   -3.0828	46
失效	   -3.0830	47
记为	   -3.0850	48
为失	   -3.0879	49
补救	   -3.0880	50
源标	   -3.0884	51
区划	   -3.0996	52
世界	   -3.1138	53
上海	   -3.1141	54
华人	   -3.1226	55
民共	   -3.1337	56
链接	   -3.1360	57
维基	   -3.1367	58
第二	   -3.1415	59
历史	   -3.1481	60
可以	   -3.1544	61
方公	   -3.1657	62
社区	   -3.1716	63
地区	   -3.1808	64
员会	   -3.1854	65
相似	   -3.1876	66
中央	   -3.1898	67
用户	   -3.1954	68
法国	   -3.1973	69
其中	   -3.1976	70
容为	   -3.1979	71
资料	   -3.2039	72
电影	   -3.2044	73
国际	   -3.2072	74
国人	   -3.2118	75
乐部	   -3.2169	76
俱乐	   -3.2176	77
立内	   -3.2180	78
科学	   -3.2253	79
车站	   -3.2309	80
中心	   -3.2327	81
保护	   -3.2341	82
其他	   -3.2478	83
管理	   -3.2482	84
是一	   -3.2489	85
城市	   -3.2506	86
删除	   -3.2513	87
文化	   -3.2543	88
数据	   -3.2561	89
位于	   -3.2587	90
年代	   -3.2611	91
近地	   -3.2617	92
科罗	   -3.2625	93
系统	   -3.2627	94
夏季	   -3.2675	95
地小	   -3.2691	96
以及	   -3.2760	97
索科	   -3.2820	98
年夏	   -3.2844	99
部分	   -3.2863	100
小组	   -3.2868	101
交通	   -3.2884	102
编辑	   -3.2887	103
德国	   -3.2888	104
考资	   -3.2926	105
包括	   -3.2971	106
斯特	   -3.3001	107
全国	   -3.3017	108
街道	   -3.3029	109
时间	   -3.3064	110
单位	   -3.3076	111
球俱	   -3.3115	112
教育	   -3.3159	113
主要	   -3.3168	114
学校	   -3.3192	115
语言	   -3.3309	116
建筑	   -3.3325	117
工作	   -3.3335	118
利亚	   -3.3481	119
日期	   -3.3501	120
世纪	   -3.3506	121
没有	   -3.3533	122
林肯	   -3.3541	123
分类	   -3.3567	124
地铁	   -3.3641	125
游戏	   -3.3645	126
小作	   -3.3730	127
究小	   -3.3751	128
星研	   -3.3763	129
社会	   -3.3766	130
肯近	   -3.3767	131
平成	   -3.3794	132
主义	   -3.3880	133
尼亚	   -3.3884	134
第三	   -3.3910	135
工程	   -3.3928	136
版本	   -3.3953	137
组织	   -3.3961	138
信息	   -3.3969	139
进行	   -3.3970	140
欧洲	   -3.3979	141
州市	   -3.4017	142
西班	   -3.4037	143
外部	   -3.4039	144
自治	   -3.4042	145
讨论	   -3.4044	146
班牙	   -3.4048	147
经济	   -3.4064	148
太空	   -3.4074	149
成立	   -3.4078	150
监视	   -3.4108	151
部链	   -3.4117	152
电视	   -3.4178	153
开始	   -3.4186	154
大利	   -3.4209	155
植物	   -3.4240	156
提供	   -3.4259	157
名称	   -3.4282	158
英国	   -3.4346	159
参见	   -3.4415	160
共产	   -3.4434	161
成为	   -3.4445	162
贡献	   -3.4456	163
技术	   -3.4462	164
动员	   -3.4468	165
百科	   -3.4479	166
年至	   -3.4484	167
获得	   -3.4497	168
移动	   -3.4521	169
移除	   -3.4542	170
事件	   -3.4556	171
航空	   -3.4561	172
机场	   -3.4587	173
集团	   -3.4612	174
二十	   -3.4627	175
基特	   -3.4655	176
保留	   -3.4659	177
罗斯	   -3.4687	178
添加	   -3.4705	179
西亚	   -3.4723	180
文本	   -3.4755	181
特峰	   -3.4763	182
之一	   -3.4772	183
新闻	   -3.4775	184
自由	   -3.4791	185
空监	   -3.4802	186
公路	   -3.4802	187
角色	   -3.4818	188
支持	   -3.4839	189
逝世	   -3.4841	190
通过	   -3.4850	191
文物	   -3.4860	192
系列	   -3.4873	193
中共	   -3.4884	194
解放	   -3.4889	195
印度	   -3.4895	196
可能	   -3.4912	197
影响	   -3.4915	198
中文	   -3.4920	199
级行	   -3.4946	200
最佳	   -3.4957	201
有限	   -3.4978	202
里斯	   -3.4983	203
音乐	   -3.4990	204
动会	   -3.5028	205
克斯	   -3.5084	206
产党	   -3.5086	207
完成	   -3.5087	208
发现	   -3.5091	209
认为	   -3.5095	210
联合	   -3.5103	211
主席	   -3.5111	212
浙江	   -3.5120	213
书记	   -3.5133	214
天津	   -3.5137	215
广州	   -3.5145	216
位置	   -3.5156	217
现在	   -3.5160	218
庄村	   -3.5167	219
因此	   -3.5185	220
明朝	   -3.5185	221
高速	   -3.5190	222
民政	   -3.5213	223
似文	   -3.5216	224
生物	   -3.5222	225
体育	   -3.5228	226
号线	   -3.5244	227
公尺	   -3.5268	228
下辖	   -3.5273	229
自己	   -3.5274	230
战争	   -3.5311	231
这个	   -3.5327	232
英文	   -3.5386	233
问题	   -3.5406	234
年度	   -3.5412	235
学家	   -3.5422	236
图片	   -3.5444	237
第十	   -3.5448	238
他们	   -3.5482	239
民主	   -3.5499	240
治人	   -3.5505	241
似度	   -3.5517	242
拉斯	   -3.5536	243
阿尔	   -3.5537	244
究所	   -3.5541	245
发展	   -3.5553	246
大陆	   -3.5583	247
协会	   -3.5587	248
十一	   -3.5591	249
作为	   -3.5615	250
山东	   -3.5620	251
南京	   -3.5653	252
设计	   -3.5666	253
国共	   -3.5672	254
歌手	   -3.5677	255
