word	log10(p)	rank	dependance	use fraction	other use fraction
的	   -1.7712
的一	   -2.9363	18	   10.0509	    0.0532	    0.1325
他的	   -3.5850	273	    8.3322	    0.0119	    0.1098

word	log10(p)	rank	dependance	use fraction	other use fraction
国	   -1.9904
中国	   -2.4262	0	   37.9205	    0.2852	    0.3017
美国	   -2.8856	12	   54.7011	    0.0990	    0.4352
国家	   -2.9756	21	   32.6298	    0.0805	    0.2596
和国	   -3.0327	31	   22.8712	    0.0706	    0.1819
法国	   -3.1973	69	   24.7019	    0.0483	    0.1965
国际	   -3.2072	74	   90.6748	    0.0472	    0.7213
国人	   -3.2118	75	    6.9374	    0.0467	    0.0552
德国	   -3.2888	104	   15.2678	    0.0391	    0.1215
全国	   -3.3017	108	   30.3103	    0.0380	    0.2411
英国	   -3.4346	159	   26.0136	    0.0280	    0.2069
国共	   -3.5672	254	   14.3724	    0.0206	    0.1143
国政	   -3.6142	298	    7.3793	    0.0185	    0.0587
民国	   -3.6370	322	    7.6026	    0.0176	    0.0605
国民	   -3.6419	329	    7.5167	    0.0174	    0.0598
国科	   -3.6733	360	    7.0446	    0.0161	    0.0560
帝国	   -3.7347	434	   31.8003	    0.0140	    0.2530
国务	   -3.7569	467	   20.7091	    0.0133	    0.1647
韩国	   -3.7574	468	   58.0406	    0.0133	    0.4617
国铁	   -3.8349	595	   10.5274	    0.0111	    0.0837
国乡	   -3.8735	652	   17.0627	    0.0102	    0.1357

word	log10(p)	rank	dependance	use fraction	other use fraction
中	   -2.0147
中国	   -2.4262	0	   37.9205	    0.3017	    0.2852
中华	   -3.0238	28	   56.7114	    0.0762	    0.4265
中央	   -3.1898	67	  119.0926	    0.0520	    0.8957
其中	   -3.1976	70	   32.8218	    0.0511	    0.2469
中心	   -3.2327	81	   58.0549	    0.0471	    0.4366
中共	   -3.4884	194	   18.2265	    0.0261	    0.1371
中文	   -3.4920	199	    7.7809	    0.0259	    0.0585
中学	   -3.5960	282	    5.4481	    0.0204	    0.0410
中部	   -3.6443	334	    6.3578	    0.0183	    0.0478
中山	   -3.8333	590	    5.0285	    0.0118	    0.0378
洲中	   -3.8909	696	   14.0943	    0.0103	    0.1060

word	log10(p)	rank	dependance	use fraction	other use fraction
人	   -2.0626
人民	   -2.7737	5	   65.5367	    0.1513	    0.4415
人口	   -2.8186	8	   91.9107	    0.1365	    0.6191
人物	   -3.0704	40	   37.5972	    0.0764	    0.2533
器人	   -3.0757	43	   78.8417	    0.0755	    0.5311
华人	   -3.1226	55	   50.4300	    0.0678	    0.3397
国人	   -3.2118	75	    6.9374	    0.0552	    0.0467
治人	   -3.5505	241	   20.7353	    0.0253	    0.1397
个人	   -3.7332	429	    5.6865	    0.0166	    0.0383
人员	   -3.7966	531	    8.2385	    0.0144	    0.0555
总人	   -3.7997	536	   17.1685	    0.0143	    0.1157
